level,parameter,category,output_variable,sensitivity_score,p_value,ci_lower,ci_upper,n_samples,elasticity,param_change,output_change,building_id,object_type,object_name,field_name,zone_name,interaction_type,avg_zone_param_change,avg_output_change,significance,confidence_level,time_slice,analysis_type
building,lighting*LIGHTS*Lights_ALL_ZONES*return_air_fraction,lighting,Zone Air System Sensible Cooling Energy,,0.05,0,0,1,,-31.25,,4136737,LIGHTS,Lights_ALL_ZONES,return_air_fraction,,,,,,low,peak_months,modification
building,lighting*LIGHTS*Lights_ALL_ZONES*return_air_fraction,lighting,Zone Air System Sensible Cooling Energy,,0.05,0,0,1,,-31.25,,4136738,LIGHTS,Lights_ALL_ZONES,return_air_fraction,,,,,,low,peak_months,modification
building,materials*MATERIAL*Concrete_200mm*conductivity,materials,Zone Air System Sensible Heating Energy,2.571457003880376,0.05,0,0,1,2.571457003880376,-30.4856105824505,-78.39243684981206,4136733,MATERIAL,Concrete_200mm,conductivity,,,,,,low,peak_months,modification
building,materials*MATERIAL*Concrete_200mm*conductivity,materials,Zone Air System Sensible Heating Energy,2.750226147282576,0.05,0,0,1,2.750226147282576,-30.839186244276764,-84.8147363699271,4136737,MATERIAL,Concrete_200mm,conductivity,,,,,,low,peak_months,modification
building,materials*MATERIAL*Concrete_200mm*conductivity,materials,Zone Air System Sensible Heating Energy,3.149696005721784,0.05,0,0,1,3.149696005721784,-30.136565785292323,-94.92102088010701,4136738,MATERIAL,Concrete_200mm,conductivity,,,,,,low,peak_months,modification
building,materials*MATERIAL*Concrete_200mm*conductivity,materials,Zone Air System Sensible Cooling Energy,,0.05,0,0,1,,-30.4856105824505,,4136733,MATERIAL,Concrete_200mm,conductivity,,,,,,low,peak_months,modification
building,materials*MATERIAL*Concrete_200mm*conductivity,materials,Zone Air System Sensible Cooling Energy,,0.05,0,0,1,,-30.839186244276764,,4136737,MATERIAL,Concrete_200mm,conductivity,,,,,,low,peak_months,modification
building,materials*MATERIAL*Concrete_200mm*conductivity,materials,Zone Air System Sensible Cooling Energy,,0.05,0,0,1,,-30.136565785292323,,4136738,MATERIAL,Concrete_200mm,conductivity,,,,,,low,peak_months,modification
building,materials*MATERIAL*Concrete_200mm*thickness,materials,Zone Air System Sensible Heating Energy,2.2984319925833776,0.05,0,0,1,-2.2984319925833776,34.10692032775832,-78.39243684981206,4136733,MATERIAL,Concrete_200mm,thickness,,,,,,low,peak_months,modification
building,materials*MATERIAL*Concrete_200mm*thickness,materials,Zone Air System Sensible Heating Energy,2.309745585500487,0.05,0,0,1,-2.309745585500487,36.720380332082776,-84.8147363699271,4136737,MATERIAL,Concrete_200mm,thickness,,,,,,low,peak_months,modification
building,materials*MATERIAL*Concrete_200mm*thickness,materials,Zone Air System Sensible Heating Energy,2.8868903203660916,0.05,0,0,1,-2.8868903203660916,32.880023259099744,-94.92102088010701,4136738,MATERIAL,Concrete_200mm,thickness,,,,,,low,peak_months,modification
building,materials*MATERIAL*Concrete_200mm*thickness,materials,Zone Air System Sensible Cooling Energy,,0.05,0,0,1,,34.10692032775832,,4136733,MATERIAL,Concrete_200mm,thickness,,,,,,low,peak_months,modification
building,materials*MATERIAL*Concrete_200mm*thickness,materials,Zone Air System Sensible Cooling Energy,,0.05,0,0,1,,36.720380332082776,,4136737,MATERIAL,Concrete_200mm,thickness,,,,,,low,peak_months,modification
building,materials*MATERIAL*Concrete_200mm*thickness,materials,Zone Air System Sensible Cooling Energy,,0.05,0,0,1,,32.880023259099744,,4136738,MATERIAL,Concrete_200mm,thickness,,,,,,low,peak_months,modification
building,materials*MATERIAL:NOMASS*Door_U3.4*thermal_resistance,materials,Zone Air System Sensible Heating Energy,0.9900873138285373,0.05,0,0,1,-0.9900873138285373,79.17729654234113,-78.39243684981206,4136733,MATERIAL:NOMASS,Door_U3.4,thermal_resistance,,,,,,low,peak_months,modification
building,materials*MATERIAL:NOMASS*Door_U3.4*thermal_resistance,materials,Zone Air System Sensible Cooling Energy,,0.05,0,0,1,,79.17729654234113,,4136733,MATERIAL:NOMASS,Door_U3.4,thermal_resistance,,,,,,low,peak_months,modification
building,materials*MATERIAL:NOMASS*GroundFloor_R2.5*thermal_resistance,materials,Zone Air System Sensible Heating Energy,1.151795519371927,0.05,0,0,1,-1.151795519371927,68.06107119826216,-78.39243684981206,4136733,MATERIAL:NOMASS,GroundFloor_R2.5,thermal_resistance,,,,,,low,peak_months,modification
building,materials*MATERIAL:NOMASS*GroundFloor_R2.5*thermal_resistance,materials,Zone Air System Sensible Cooling Energy,,0.05,0,0,1,,68.06107119826216,,4136733,MATERIAL:NOMASS,GroundFloor_R2.5,thermal_resistance,,,,,,low,peak_months,modification
building,materials*MATERIAL:NOMASS*InteriorWall_Generic_R0.5*thermal_resistance,materials,Zone Air System Sensible Heating Energy,1.1154860306269336,0.05,0,0,1,-1.1154860306269336,70.2764845972597,-78.39243684981206,4136733,MATERIAL:NOMASS,InteriorWall_Generic_R0.5,thermal_resistance,,,,,,low,peak_months,modification
building,materials*MATERIAL:NOMASS*InteriorWall_Generic_R0.5*thermal_resistance,materials,Zone Air System Sensible Cooling Energy,,0.05,0,0,1,,70.2764845972597,,4136733,MATERIAL:NOMASS,InteriorWall_Generic_R0.5,thermal_resistance,,,,,,low,peak_months,modification
building,materials*MATERIAL:NOMASS*InternalFloor_Generic_R1.0*thermal_resistance,materials,Zone Air System Sensible Heating Energy,1.014383760746712,0.05,0,0,1,-1.014383760746712,77.28084762723874,-78.39243684981206,4136733,MATERIAL:NOMASS,InternalFloor_Generic_R1.0,thermal_resistance,,,,,,low,peak_months,modification
building,materials*MATERIAL:NOMASS*InternalFloor_Generic_R1.0*thermal_resistance,materials,Zone Air System Sensible Cooling Energy,,0.05,0,0,1,,77.28084762723874,,4136733,MATERIAL:NOMASS,InternalFloor_Generic_R1.0,thermal_resistance,,,,,,low,peak_months,modification
building,materials*MATERIAL:NOMASS*Roof_R2.5*thermal_resistance,materials,Zone Air System Sensible Heating Energy,1.0490159039836264,0.05,0,0,1,-1.0490159039836264,74.72950271975633,-78.39243684981206,4136733,MATERIAL:NOMASS,Roof_R2.5,thermal_resistance,,,,,,low,peak_months,modification
building,materials*MATERIAL:NOMASS*Roof_R2.5*thermal_resistance,materials,Zone Air System Sensible Cooling Energy,,0.05,0,0,1,,74.72950271975633,,4136733,MATERIAL:NOMASS,Roof_R2.5,thermal_resistance,,,,,,low,peak_months,modification
building,shading*WINDOWSHADINGCONTROL*ShadingCtrl_Zone1_FrontPerimeter_Wall_0_window*shading_setpoint,shading,Zone Air System Sensible Heating Energy,10.0,0.05,0,0,1,-51.337303916917534,1.5270072806448813,-78.39243684981206,4136733,WINDOWSHADINGCONTROL,ShadingCtrl_Zone1_FrontPerimeter_Wall_0_window,shading_setpoint,,,,,,low,peak_months,modification
building,shading*WINDOWSHADINGCONTROL*ShadingCtrl_Zone1_FrontPerimeter_Wall_0_window*shading_setpoint,shading,Zone Air System Sensible Cooling Energy,,0.05,0,0,1,,1.5270072806448813,,4136733,WINDOWSHADINGCONTROL,ShadingCtrl_Zone1_FrontPerimeter_Wall_0_window,shading_setpoint,,,,,,low,peak_months,modification
building,shading*WINDOWSHADINGCONTROL*ShadingCtrl_Zone1_LeftPerimeter_Wall_0_window*shading_setpoint,shading,Zone Air System Sensible Heating Energy,10.0,0.05,0,0,1,65.03877531161712,-1.2053184653956688,-78.39243684981206,4136733,WINDOWSHADINGCONTROL,ShadingCtrl_Zone1_LeftPerimeter_Wall_0_window,shading_setpoint,,,,,,low,peak_months,modification
building,shading*WINDOWSHADINGCONTROL*ShadingCtrl_Zone1_LeftPerimeter_Wall_0_window*shading_setpoint,shading,Zone Air System Sensible Heating Energy,10.0,0.05,0,0,1,-142.6900233289374,0.5943985037721047,-84.8147363699271,4136737,WINDOWSHADINGCONTROL,ShadingCtrl_Zone1_LeftPerimeter_Wall_0_window,shading_setpoint,,,,,,low,peak_months,modification
building,shading*WINDOWSHADINGCONTROL*ShadingCtrl_Zone1_LeftPerimeter_Wall_0_window*shading_setpoint,shading,Zone Air System Sensible Cooling Energy,,0.05,0,0,1,,-1.2053184653956688,,4136733,WINDOWSHADINGCONTROL,ShadingCtrl_Zone1_LeftPerimeter_Wall_0_window,shading_setpoint,,,,,,low,peak_months,modification
