VariableName,01/01,01/02,01/03,01/04,01/05,01/06,01/07,01/08,01/09,01/10,01/11,01/12,01/13,01/14,01/15,01/16,01/17,01/18,01/19,01/20,01/21,01/22,01/23,01/24,01/25,01/26,01/27,01/28,01/29,01/30
ZONE1_LEFTPERIMETER_WALL_2:Surface Inside Face Temperature [C](Hourly),11.007420789196908,11.041576081061123,10.656101234442453,9.993293897902694,7.051600065611315,2.7993282865973903,8.013522849583826,9.171933097112015,10.35774179779449,10.97133753567637,10.873106629438071,8.58320507893326,4.7425522225360135,10.085745911762414,11.396422940981784,11.511631918562026,11.28076744897953,11.581038216630365,9.016323131590829,6.745887832910131,10.7678303519806,11.659705875999752,11.821730202142328,11.882162091964489,11.440339062692418,9.678677872832278,5.673117353579662,10.670862773152166,11.585294987041266,11.523489019843858
ZONE1_LEFTPERIMETER_WALL_2:Surface Outside Face Temperature [C](Hourly),10.28676583799677,10.260946859400738,9.733223416007355,9.10703659708844,5.917654514163488,2.093449083106247,8.258136034195875,9.25996420497483,9.953986083721162,10.398230581630362,10.09124591507251,7.320865236640079,3.499453789272413,9.953705187188598,10.830006564047965,10.656389830892428,10.35438876769823,10.821439971412934,7.781289479027753,5.249443618601323,10.20087397217256,10.89721579756069,10.852043443657005,10.861033815718576,10.616744948557216,8.528511672071488,4.158500565168461,10.277514918654974,10.858595493860513,10.53411405275622
ZONE1_LEFTPERIMETER_WALL_3:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),0.0097499139542249,0.0321794784225398,0.111655937002169,0.0925761167505632,0.2083454943460845,0.2410666692213839,-0.3660218818539905,-0.207075243052122,-0.1383993436050742,0.0526292975027146,0.0218058070494226,0.2675869442126887,0.080928135277659,-0.4378234256738231,-0.0656838950602283,0.1245636733115665,-0.1378653570940273,0.0744275884083003,0.1315316876906575,0.200099557529707,-0.3815296401930753,-0.0591333990182829,0.0154947400099718,0.0629119569648907,-0.0217560510327787,0.2738649416242011,0.2151029580734067,-0.4658647339372047,-0.0179743728027661,0.1643610244545441
ZONE1_LEFTPERIMETER_WALL_3:Surface Inside Face Temperature [C](Hourly),11.290859614844814,11.335721587976522,10.988613091508542,10.32457528452372,7.419309618526872,3.016045647904574,8.062622354493977,9.266548678187808,10.563044121261465,11.214163590432854,11.167085388193094,8.972054217765198,5.110810228055208,10.225015660955515,11.637659419591063,11.817629769673765,11.605305502152287,11.868226374994007,9.396438218540176,7.180683722896231,11.005881883275478,11.943919758454152,12.151375491379342,12.22489145464088,11.744062752688002,10.040023272421871,6.116334099900393,10.868763949589912,11.862715753621972,11.8608777799929
ZONE1_LEFTPERIMETER_WALL_3:Surface Outside Face Temperature [C](Hourly),11.291689403740742,11.338460296645858,10.99811582734024,10.332454188283114,7.437041341959159,3.036562182331162,8.031471218734742,9.248925062419213,10.551265326180165,11.218642728081988,11.168941221653911,8.994827821311373,5.117697803508366,10.187753689341536,11.63206924033224,11.828231048150183,11.59357215322359,11.87456070642522,9.407632525938244,7.197713656872849,10.973410924004884,11.938887074256714,12.1526942069358,12.230245721720118,11.742211153827643,10.063331179405512,6.13464093285589,10.829115457814476,11.861186003202326,11.87486610375206
ZONE1_REARPERIMETER_FLOOR:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),-104.20853169956416,-107.28486999725884,-101.8523208007962,-93.4103820812007,-58.92481634648154,-9.834164654352763,-67.4078256868931,-82.26736902623345,-97.11173594021844,-104.06561043848876,-103.54804362060143,-77.85180272345762,-31.69496006778495,-93.8849931955012,-110.74934556874344,-113.09632917516905,-110.0872051941044,-114.04707716948838,-83.33740418698903,-59.11220549582015,-102.44607071577371,-113.6527371949757,-116.40348208691864,-117.03861374961518,-111.8333479956156,-91.78393534797844,-41.81581024928656,-102.58667975726154,-112.89215676882304,-113.21996830135758
ZONE1_REARPERIMETER_FLOOR:Surface Inside Face Temperature [C](Hourly),9.410784548060294,9.514056391605807,9.135521690024715,8.547295677075082,6.144375268595938,2.723786790391053,6.735463042135696,7.770861452747622,8.805202384920749,9.289741541924448,9.2536779935106,7.4631891220817295,4.247025581037829,8.580366114179602,9.755457652627213,9.918993169185908,9.709320360528324,9.98524035725423,7.845420453616245,6.157432360793209,9.176893601948896,9.957763134467028,10.149432341526458,10.19368769305831,9.830989878904411,8.433966463379472,4.952236498537893,9.186691102097416,9.90476663609577,9.927608222274795
ZONE1_REARPERIMETER_FLOOR:Surface Outside Face Temperature [C](Hourly),2.1496362321308937,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738,2.03855183933738
ZONE1_REARPERIMETER_ROOF:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),-30.07761003563697,-29.027434067547212,-42.09597973564041,-49.973650239737886,-41.46263088572452,-17.409605088102115,-36.859681532886434,-27.462145237131534,-21.2979557129426,-21.45440033151493,-29.493245419537413,-25.710790432738477,-11.128481139217762,-14.979270798549024,-12.887514078004571,-23.483655658789896,-25.33434043505573,-19.553620462122648,-17.946544710616518,-0.3084867008810824,-17.275344850871033,-15.888698938533896,-19.82630727536929,-21.47166454638314,-22.286556555479205,-9.094964008679202,-10.427468624761064,-11.960900651156436,-14.974283445093022,-28.28037878301869
ZONE1_REARPERIMETER_ROOF:Surface Inside Face Temperature [C](Hourly),10.77743186594848,10.915625259211202,10.25666113958578,9.418609286695672,6.526526595895817,2.6037186704315385,7.392789408529054,8.846959667548651,10.180091255112462,10.781699041807778,10.587569963024356,8.400584204750933,4.645681583553452,10.009092149167898,11.473145973382492,11.477998823643595,11.178736388806763,11.649565407965117,9.005491745288655,7.204354262186203,10.668785513216376,11.671283781750455,11.802579360133416,11.833886650222226,11.416350350240233,9.892864775270446,5.535956314623706,10.7582014549643,11.617117975736312,11.395621897539884
